,estado,cidade
0,Paraná,Abatiá
1,Paraná,Adrianópolis
2,Paraná,Agudos do Sul
3,Paraná,Almirante Tamandaré
4,Paraná,Altamira do Paraná
5,Paraná,Alto Paraíso
6,Paraná,Alto Paraná
7,Paraná,Alto Piquiri
8,Paraná,Altônia
9,Paraná,Alvorada do Sul
10,Paraná,Amaporã
11,Paraná,Ampére
12,Paraná,Anahy
13,Paraná,Andirá
14,Paraná,Ângulo
15,Paraná,Antonina
16,Paraná,Antônio Olinto
17,Paraná,Apucarana
18,Paraná,Arapongas
19,Paraná,Arapoti
20,Paraná,Arapuã
21,Paraná,Araruna
22,Paraná,Araucária
23,Paraná,Ariranha do Ivaí
24,Paraná,Assaí
25,Paraná,Assis Chateaubriand
26,Paraná,Astorga
27,Paraná,Atalaia
28,Paraná,Balsa Nova
29,Paraná,Bandeirantes
30,Paraná,Barbosa Ferraz
31,Paraná,Barra do Jacaré
32,Paraná,Barracão
33,Paraná,Bela Vista da Caroba
34,Paraná,Bela Vista do Paraíso
35,Paraná,Bituruna
36,Paraná,Boa Esperança
37,Paraná,Boa Esperança do Iguaçu
38,Paraná,Boa Ventura de São Roque
39,Paraná,Boa Vista da Aparecida
40,Paraná,Bocaiúva do Sul
41,Paraná,Bom Jesus do Sul
42,Paraná,Bom Sucesso
43,Paraná,Bom Sucesso do Sul
44,Paraná,Borrazópolis
45,Paraná,Braganey
46,Paraná,Brasilândia do Sul
47,Paraná,Cafeara
48,Paraná,Cafelândia
49,Paraná,Cafezal do Sul
50,Paraná,Califórnia
51,Paraná,Cambará
52,Paraná,Cambé
53,Paraná,Cambira
54,Paraná,Campina da Lagoa
55,Paraná,Campina do Simão
56,Paraná,Campina Grande do Sul
57,Paraná,Campo Bonito
58,Paraná,Campo do Tenente
59,Paraná,Campo Largo
60,Paraná,Campo Magro
61,Paraná,Campo Mourão
62,Paraná,Cândido de Abreu
63,Paraná,Candói
64,Paraná,Cantagalo
65,Paraná,Capanema
66,Paraná,Capitão Leônidas Marques
67,Paraná,Carambeí
68,Paraná,Carlópolis
69,Paraná,Cascavel
70,Paraná,Castro
71,Paraná,Catanduvas
72,Paraná,Centenário do Sul
73,Paraná,Cerro Azul
74,Paraná,Céu Azul
75,Paraná,Chopinzinho
76,Paraná,Cianorte
77,Paraná,Cidade Gaúcha
78,Paraná,Clevelândia
79,Paraná,Colombo
80,Paraná,Colorado
81,Paraná,Congonhinhas
82,Paraná,Conselheiro Mairinck
83,Paraná,Contenda
84,Paraná,Corbélia
85,Paraná,Cornélio Procópio
86,Paraná,Coronel Domingos Soares
87,Paraná,Coronel Vivida
88,Paraná,Corumbataí do Sul
89,Paraná,Cruz Machado
90,Paraná,Cruzeiro do Iguaçu
91,Paraná,Cruzeiro do Oeste
92,Paraná,Cruzeiro do Sul
93,Paraná,Cruzmaltina
94,Paraná,Curitiba
95,Paraná,Curiúva
96,Paraná,Diamante do Norte
97,Paraná,Diamante do Sul
98,Paraná,Diamante d'Oeste
99,Paraná,Dois Vizinhos
100,Paraná,Douradina
101,Paraná,Doutor Camargo
102,Paraná,Doutor Ulysses
103,Paraná,Enéas Marques
104,Paraná,Engenheiro Beltrão
105,Paraná,Entre Rios do Oeste
106,Paraná,Esperança Nova
107,Paraná,Espigão Alto do Iguaçu
108,Paraná,Farol
109,Paraná,Faxinal
110,Paraná,Fazenda Rio Grande
111,Paraná,Fênix
112,Paraná,Fernandes Pinheiro
113,Paraná,Figueira
114,Paraná,Flor da Serra do Sul
115,Paraná,Floraí
116,Paraná,Floresta
117,Paraná,Florestópolis
118,Paraná,Flórida
119,Paraná,Formosa do Oeste
120,Paraná,Foz do Iguaçu
121,Paraná,Foz do Jordão
122,Paraná,Francisco Alves
123,Paraná,Francisco Beltrão
124,Paraná,General Carneiro
125,Paraná,Godoy Moreira
126,Paraná,Goioerê
127,Paraná,Goioxim
128,Paraná,Grandes Rios
129,Paraná,Guaíra
130,Paraná,Guairaçá
131,Paraná,Guamiranga
132,Paraná,Guapirama
133,Paraná,Guaporema
134,Paraná,Guaraci
135,Paraná,Guaraniaçu
136,Paraná,Guarapuava
137,Paraná,Guaraqueçaba
138,Paraná,Guaratuba
139,Paraná,Honório Serpa
140,Paraná,Ibaiti
141,Paraná,Ibema
142,Paraná,Ibiporã
143,Paraná,Icaraíma
144,Paraná,Iguaraçu
145,Paraná,Iguatu
146,Paraná,Imbaú
147,Paraná,Imbituva
148,Paraná,Inácio Martins
149,Paraná,Inajá
150,Paraná,Indianópolis
151,Paraná,Ipiranga
152,Paraná,Iporã
153,Paraná,Iracema do Oeste
154,Paraná,Irati
155,Paraná,Iretama
156,Paraná,Itaguajé
157,Paraná,Itaipulândia
158,Paraná,Itambaracá
159,Paraná,Itambé
160,Paraná,Itapejara d'Oeste
161,Paraná,Itaperuçu
162,Paraná,Itaúna do Sul
163,Paraná,Ivaí
164,Paraná,Ivaiporã
165,Paraná,Ivaté
166,Paraná,Ivatuba
167,Paraná,Jaboti
168,Paraná,Jacarezinho
169,Paraná,Jaguapitã
170,Paraná,Jaguariaíva
171,Paraná,Jandaia do Sul
172,Paraná,Janiópolis
173,Paraná,Japira
174,Paraná,Japurá
175,Paraná,Jardim Alegre
176,Paraná,Jardim Olinda
177,Paraná,Jataizinho
178,Paraná,Jesuítas
179,Paraná,Joaquim Távora
180,Paraná,Jundiaí do Sul
181,Paraná,Juranda
182,Paraná,Jussara
183,Paraná,Kaloré
184,Paraná,Lapa
185,Paraná,Laranjal
186,Paraná,Laranjeiras do Sul
187,Paraná,Leópolis
188,Paraná,Lidianópolis
189,Paraná,Lindoeste
190,Paraná,Loanda
191,Paraná,Lobato
192,Paraná,Londrina
193,Paraná,Luiziana
194,Paraná,Lunardelli
195,Paraná,Lupionópolis
196,Paraná,Mallet
197,Paraná,Mamborê
198,Paraná,Mandaguaçu
199,Paraná,Mandaguari
200,Paraná,Mandirituba
201,Paraná,Manfrinópolis
202,Paraná,Mangueirinha
203,Paraná,Manoel Ribas
204,Paraná,Marechal Cândido Rondon
205,Paraná,Maria Helena
206,Paraná,Marialva
207,Paraná,Marilândia do Sul
208,Paraná,Marilena
209,Paraná,Mariluz
210,Paraná,Maringá
211,Paraná,Mariópolis
212,Paraná,Maripá
213,Paraná,Marmeleiro
214,Paraná,Marquinho
215,Paraná,Marumbi
216,Paraná,Matelândia
217,Paraná,Matinhos
218,Paraná,Mato Rico
219,Paraná,Mauá da Serra
220,Paraná,Medianeira
221,Paraná,Mercedes
222,Paraná,Mirador
223,Paraná,Miraselva
224,Paraná,Missal
225,Paraná,Moreira Sales
226,Paraná,Morretes
227,Paraná,Munhoz de Mello
228,Paraná,Nossa Senhora das Graças
229,Paraná,Nova Aliança do Ivaí
230,Paraná,Nova América da Colina
231,Paraná,Nova Aurora
232,Paraná,Nova Cantu
233,Paraná,Nova Esperança do Sudoeste
234,Paraná,Nova Esperança
235,Paraná,Nova Fátima
236,Paraná,Nova Laranjeiras
237,Paraná,Nova Londrina
238,Paraná,Nova Olímpia
239,Paraná,Nova Prata do Iguaçu
240,Paraná,Nova Santa Bárbara
241,Paraná,Nova Santa Rosa
242,Paraná,Nova Tebas
243,Paraná,Novo Itacolomi
244,Paraná,Ortigueira
245,Paraná,Ourizona
246,Paraná,Ouro Verde do Oeste
247,Paraná,Paiçandu
248,Paraná,Palmas
249,Paraná,Palmeira
250,Paraná,Palmital
251,Paraná,Palotina
252,Paraná,Paraíso do Norte
253,Paraná,Paranacity
254,Paraná,Paranaguá
255,Paraná,Paranapoema
256,Paraná,Paranavaí
257,Paraná,Pato Bragado
258,Paraná,Pato Branco
259,Paraná,Paula Freitas
260,Paraná,Paulo Frontin
261,Paraná,Peabiru
262,Paraná,Perobal
263,Paraná,Pérola
264,Paraná,Pérola d'Oeste
265,Paraná,Piên
266,Paraná,Pinhais
267,Paraná,Pinhal de São Bento
268,Paraná,Pinhalão
269,Paraná,Pinhão
270,Paraná,Piraí do Sul
271,Paraná,Piraquara
272,Paraná,Pitanga
273,Paraná,Pitangueiras
274,Paraná,Planaltina do Paraná
275,Paraná,Planalto
276,Paraná,Ponta Grossa
277,Paraná,Pontal do Paraná
278,Paraná,Porecatu
279,Paraná,Porto Amazonas
280,Paraná,Porto Barreiro
281,Paraná,Porto Rico
282,Paraná,Porto Vitória
283,Paraná,Prado Ferreira
284,Paraná,Pranchita
285,Paraná,Presidente Castelo Branco
286,Paraná,Primeiro de Maio
287,Paraná,Prudentópolis
288,Paraná,Quarto Centenário
289,Paraná,Quatiguá
290,Paraná,Quatro Barras
291,Paraná,Quatro Pontes
292,Paraná,Quedas do Iguaçu
293,Paraná,Querência do Norte
294,Paraná,Quinta do Sol
295,Paraná,Quitandinha
296,Paraná,Ramilândia
297,Paraná,Rancho Alegre
298,Paraná,Rancho Alegre d'Oeste
299,Paraná,Realeza
300,Paraná,Rebouças
301,Paraná,Renascença
302,Paraná,Reserva
303,Paraná,Reserva do Iguaçu
304,Paraná,Ribeirão Claro
305,Paraná,Ribeirão do Pinhal
306,Paraná,Rio Azul
307,Paraná,Rio Bom
308,Paraná,Rio Bonito do Iguaçu
309,Paraná,Rio Branco do Ivaí
310,Paraná,Rio Branco do Sul
311,Paraná,Rio Negro
312,Paraná,Rolândia
313,Paraná,Roncador
314,Paraná,Rondon
315,Paraná,Rosário do Ivaí
316,Paraná,Sabáudia
317,Paraná,Salgado Filho
318,Paraná,Salto do Itararé
319,Paraná,Salto do Lontra
320,Paraná,Santa Amélia
321,Paraná,Santa Cecília do Pavão
322,Paraná,Santa Cruz de Monte Castelo
323,Paraná,Santa Fé
324,Paraná,Santa Helena
325,Paraná,Santa Inês
326,Paraná,Santa Isabel do Ivaí
327,Paraná,Santa Izabel do Oeste
328,Paraná,Santa Lúcia
329,Paraná,Santa Maria do Oeste
330,Paraná,Santa Mariana
331,Paraná,Santa Mônica
332,Paraná,Santa Tereza do Oeste
333,Paraná,Santa Terezinha de Itaipu
334,Paraná,Santana do Itararé
335,Paraná,Santo Antônio da Platina
336,Paraná,Santo Antônio do Caiuá
337,Paraná,Santo Antônio do Paraíso
338,Paraná,Santo Antônio do Sudoeste
339,Paraná,Santo Inácio
340,Paraná,São Carlos do Ivaí
341,Paraná,São Jerônimo da Serra
342,Paraná,São João
343,Paraná,São João do Caiuá
344,Paraná,São João do Ivaí
345,Paraná,São João do Triunfo
346,Paraná,São Jorge do Ivaí
347,Paraná,São Jorge do Patrocínio
348,Paraná,São Jorge d'Oeste
349,Paraná,São José da Boa Vista
350,Paraná,São José das Palmeiras
351,Paraná,São José dos Pinhais
352,Paraná,São Manoel do Paraná
353,Paraná,São Mateus do Sul
354,Paraná,São Miguel do Iguaçu
355,Paraná,São Pedro do Iguaçu
356,Paraná,São Pedro do Ivaí
357,Paraná,São Pedro do Paraná
358,Paraná,São Sebastião da Amoreira
359,Paraná,São Tomé
360,Paraná,Sapopema
361,Paraná,Sarandi
362,Paraná,Saudade do Iguaçu
363,Paraná,Sengés
364,Paraná,Serranópolis do Iguaçu
365,Paraná,Sertaneja
366,Paraná,Sertanópolis
367,Paraná,Siqueira Campos
368,Paraná,Sulina
369,Paraná,Tamarana
370,Paraná,Tamboara
371,Paraná,Tapejara
372,Paraná,Tapira
373,Paraná,Teixeira Soares
374,Paraná,Telêmaco Borba
375,Paraná,Terra Boa
376,Paraná,Terra Rica
377,Paraná,Terra Roxa
378,Paraná,Tibagi
379,Paraná,Tijucas do Sul
380,Paraná,Toledo
381,Paraná,Tomazina
382,Paraná,Três Barras do Paraná
383,Paraná,Tunas do Paraná
384,Paraná,Tuneiras do Oeste
385,Paraná,Tupãssi
386,Paraná,Turvo
387,Paraná,Ubiratã
388,Paraná,Umuarama
389,Paraná,União da Vitória
390,Paraná,Uniflor
391,Paraná,Uraí
392,Paraná,Ventania
393,Paraná,Vera Cruz do Oeste
394,Paraná,Verê
395,Paraná,Virmond
396,Paraná,Vitorino
397,Paraná,Wenceslau Braz
398,Paraná,Xambrê
399,Santa Catarina,Abdon Batista
400,Santa Catarina,Abelardo Luz
401,Santa Catarina,Agrolândia
402,Santa Catarina,Agronômica
403,Santa Catarina,Água Doce
404,Santa Catarina,Águas de Chapecó
405,Santa Catarina,Águas Frias
406,Santa Catarina,Águas Mornas
407,Santa Catarina,Alfredo Wagner
408,Santa Catarina,Alto Bela Vista
409,Santa Catarina,Anchieta
410,Santa Catarina,Angelina
411,Santa Catarina,Anita Garibaldi
412,Santa Catarina,Anitápolis
413,Santa Catarina,Antônio Carlos
414,Santa Catarina,Apiúna
415,Santa Catarina,Arabutã
416,Santa Catarina,Araquari
417,Santa Catarina,Araranguá
418,Santa Catarina,Armazém
419,Santa Catarina,Arroio Trinta
420,Santa Catarina,Arvoredo
421,Santa Catarina,Ascurra
422,Santa Catarina,Atalanta
423,Santa Catarina,Aurora
424,Santa Catarina,Balneário Arroio do Silva
425,Santa Catarina,Balneário Barra do Sul
426,Santa Catarina,Balneário Camboriú
427,Santa Catarina,Balneário Gaivota
428,Santa Catarina,Balneário Piçarras
429,Santa Catarina,Balneário Rincão
430,Santa Catarina,Bandeirante
431,Santa Catarina,Barra Bonita
432,Santa Catarina,Barra Velha
433,Santa Catarina,Bela Vista do Toldo
434,Santa Catarina,Belmonte
435,Santa Catarina,Benedito Novo
436,Santa Catarina,Biguaçu
437,Santa Catarina,Blumenau
438,Santa Catarina,Bocaina do Sul
439,Santa Catarina,Bom Jardim da Serra
440,Santa Catarina,Bom Jesus
441,Santa Catarina,Bom Jesus do Oeste
442,Santa Catarina,Bom Retiro
443,Santa Catarina,Bombinhas
444,Santa Catarina,Botuverá
445,Santa Catarina,Braço do Norte
446,Santa Catarina,Braço do Trombudo
447,Santa Catarina,Brunópolis
448,Santa Catarina,Brusque
449,Santa Catarina,Caçador
450,Santa Catarina,Caibi
451,Santa Catarina,Calmon
452,Santa Catarina,Camboriú
453,Santa Catarina,Campo Alegre
454,Santa Catarina,Campo Belo do Sul
455,Santa Catarina,Campo Erê
456,Santa Catarina,Campos Novos
457,Santa Catarina,Canelinha
458,Santa Catarina,Canoinhas
459,Santa Catarina,Capão Alto
460,Santa Catarina,Capinzal
461,Santa Catarina,Capivari de Baixo
462,Santa Catarina,Catanduvas
463,Santa Catarina,Caxambu do Sul
464,Santa Catarina,Celso Ramos
465,Santa Catarina,Cerro Negro
466,Santa Catarina,Chapadão do Lageado
467,Santa Catarina,Chapecó
468,Santa Catarina,Cocal do Sul
469,Santa Catarina,Concórdia
470,Santa Catarina,Cordilheira Alta
471,Santa Catarina,Coronel Freitas
472,Santa Catarina,Coronel Martins
473,Santa Catarina,Correia Pinto
474,Santa Catarina,Corupá
475,Santa Catarina,Criciúma
476,Santa Catarina,Cunha Porã
477,Santa Catarina,Cunhataí
478,Santa Catarina,Curitibanos
479,Santa Catarina,Descanso
480,Santa Catarina,Dionísio Cerqueira
481,Santa Catarina,Dona Emma
482,Santa Catarina,Doutor Pedrinho
483,Santa Catarina,Entre Rios
484,Santa Catarina,Ermo
485,Santa Catarina,Erval Velho
486,Santa Catarina,Faxinal dos Guedes
487,Santa Catarina,Flor do Sertão
488,Santa Catarina,Florianópolis
489,Santa Catarina,Formosa do Sul
490,Santa Catarina,Forquilhinha
491,Santa Catarina,Fraiburgo
492,Santa Catarina,Frei Rogério
493,Santa Catarina,Galvão
494,Santa Catarina,Garopaba
495,Santa Catarina,Garuva
496,Santa Catarina,Gaspar
497,Santa Catarina,Governador Celso Ramos
498,Santa Catarina,Grão-Pará
499,Santa Catarina,Gravatal
500,Santa Catarina,Guabiruba
501,Santa Catarina,Guaraciaba
502,Santa Catarina,Guaramirim
503,Santa Catarina,Guarujá do Sul
504,Santa Catarina,Guatambu
505,Santa Catarina,Herval d'Oeste
506,Santa Catarina,Ibiam
507,Santa Catarina,Ibicaré
508,Santa Catarina,Ibirama
509,Santa Catarina,Içara
510,Santa Catarina,Ilhota
511,Santa Catarina,Imaruí
512,Santa Catarina,Imbituba
513,Santa Catarina,Imbuia
514,Santa Catarina,Indaial
515,Santa Catarina,Iomerê
516,Santa Catarina,Ipira
517,Santa Catarina,Iporã do Oeste
518,Santa Catarina,Ipuaçu
519,Santa Catarina,Ipumirim
520,Santa Catarina,Iraceminha
521,Santa Catarina,Irani
522,Santa Catarina,Irati
523,Santa Catarina,Irineópolis
524,Santa Catarina,Itá
525,Santa Catarina,Itaiópolis
526,Santa Catarina,Itajaí
527,Santa Catarina,Itapema
528,Santa Catarina,Itapiranga
529,Santa Catarina,Itapoá
530,Santa Catarina,Ituporanga
531,Santa Catarina,Jaborá
532,Santa Catarina,Jacinto Machado
533,Santa Catarina,Jaguaruna
534,Santa Catarina,Jaraguá do Sul
535,Santa Catarina,Jardinópolis
536,Santa Catarina,Joaçaba
537,Santa Catarina,Joinville
538,Santa Catarina,José Boiteux
539,Santa Catarina,Jupiá
540,Santa Catarina,Lacerdópolis
541,Santa Catarina,Lages
542,Santa Catarina,Laguna
543,Santa Catarina,Lajeado Grande
544,Santa Catarina,Laurentino
545,Santa Catarina,Lauro Müller
546,Santa Catarina,Lebon Régis
547,Santa Catarina,Leoberto Leal
548,Santa Catarina,Lindóia do Sul
549,Santa Catarina,Lontras
550,Santa Catarina,Luiz Alves
551,Santa Catarina,Luzerna
552,Santa Catarina,Macieira
553,Santa Catarina,Mafra
554,Santa Catarina,Major Gercino
555,Santa Catarina,Major Vieira
556,Santa Catarina,Maracajá
557,Santa Catarina,Maravilha
558,Santa Catarina,Marema
559,Santa Catarina,Massaranduba
560,Santa Catarina,Matos Costa
561,Santa Catarina,Meleiro
562,Santa Catarina,Mirim Doce
563,Santa Catarina,Modelo
564,Santa Catarina,Mondaí
565,Santa Catarina,Monte Carlo
566,Santa Catarina,Monte Castelo
567,Santa Catarina,Morro da Fumaça
568,Santa Catarina,Morro Grande
569,Santa Catarina,Navegantes
570,Santa Catarina,Nova Erechim
571,Santa Catarina,Nova Itaberaba
572,Santa Catarina,Nova Trento
573,Santa Catarina,Nova Veneza
574,Santa Catarina,Novo Horizonte
575,Santa Catarina,Orleans
576,Santa Catarina,Otacílio Costa
577,Santa Catarina,Ouro
578,Santa Catarina,Ouro Verde
579,Santa Catarina,Paial
580,Santa Catarina,Painel
581,Santa Catarina,Palhoça
582,Santa Catarina,Palma Sola
583,Santa Catarina,Palmeira
584,Santa Catarina,Palmitos
585,Santa Catarina,Papanduva
586,Santa Catarina,Paraíso
587,Santa Catarina,Passo de Torres
588,Santa Catarina,Passos Maia
589,Santa Catarina,Paulo Lopes
590,Santa Catarina,Pedras Grandes
591,Santa Catarina,Penha
592,Santa Catarina,Peritiba
593,Santa Catarina,Pescaria Brava
594,Santa Catarina,Petrolândia
595,Santa Catarina,Pinhalzinho
596,Santa Catarina,Pinheiro Preto
597,Santa Catarina,Piratuba
598,Santa Catarina,Planalto Alegre
599,Santa Catarina,Pomerode
600,Santa Catarina,Ponte Alta
601,Santa Catarina,Ponte Alta do Norte
602,Santa Catarina,Ponte Serrada
603,Santa Catarina,Porto Belo
604,Santa Catarina,Porto União
605,Santa Catarina,Pouso Redondo
606,Santa Catarina,Praia Grande
607,Santa Catarina,Presidente Castello Branco
608,Santa Catarina,Presidente Getúlio
609,Santa Catarina,Presidente Nereu
610,Santa Catarina,Princesa
611,Santa Catarina,Quilombo
612,Santa Catarina,Rancho Queimado
613,Santa Catarina,Rio das Antas
614,Santa Catarina,Rio do Campo
615,Santa Catarina,Rio do Oeste
616,Santa Catarina,Rio do Sul
617,Santa Catarina,Rio dos Cedros
618,Santa Catarina,Rio Fortuna
619,Santa Catarina,Rio Negrinho
620,Santa Catarina,Rio Rufino
621,Santa Catarina,Riqueza
622,Santa Catarina,Rodeio
623,Santa Catarina,Romelândia
624,Santa Catarina,Salete
625,Santa Catarina,Saltinho
626,Santa Catarina,Salto Veloso
627,Santa Catarina,Sangão
628,Santa Catarina,Santa Cecília
629,Santa Catarina,Santa Helena
630,Santa Catarina,Santa Rosa de Lima
631,Santa Catarina,Santa Rosa do Sul
632,Santa Catarina,Santa Terezinha
633,Santa Catarina,Santa Terezinha do Progresso
634,Santa Catarina,Santiago do Sul
635,Santa Catarina,Santo Amaro da Imperatriz
636,Santa Catarina,São Bento do Sul
637,Santa Catarina,São Bernardino
638,Santa Catarina,São Bonifácio
639,Santa Catarina,São Carlos
640,Santa Catarina,São Cristóvão do Sul
641,Santa Catarina,São Domingos
642,Santa Catarina,São Francisco do Sul
643,Santa Catarina,São João Batista
644,Santa Catarina,São João do Itaperiú
645,Santa Catarina,São João do Oeste
646,Santa Catarina,São João do Sul
647,Santa Catarina,São Joaquim
648,Santa Catarina,São José
649,Santa Catarina,São José do Cedro
650,Santa Catarina,São José do Cerrito
651,Santa Catarina,São Lourenço do Oeste
652,Santa Catarina,São Ludgero
653,Santa Catarina,São Martinho
654,Santa Catarina,São Miguel da Boa Vista
655,Santa Catarina,São Miguel do Oeste
656,Santa Catarina,São Pedro de Alcântara
657,Santa Catarina,Saudades
658,Santa Catarina,Schroeder
659,Santa Catarina,Seara
660,Santa Catarina,Serra Alta
661,Santa Catarina,Siderópolis
662,Santa Catarina,Sombrio
663,Santa Catarina,Sul Brasil
664,Santa Catarina,Taió
665,Santa Catarina,Tangará
666,Santa Catarina,Tigrinhos
667,Santa Catarina,Tijucas
668,Santa Catarina,Timbé do Sul
669,Santa Catarina,Timbó
670,Santa Catarina,Timbó Grande
671,Santa Catarina,Três Barras
672,Santa Catarina,Treviso
673,Santa Catarina,Treze de Maio
674,Santa Catarina,Treze Tílias
675,Santa Catarina,Trombudo Central
676,Santa Catarina,Tubarão
677,Santa Catarina,Tunápolis
678,Santa Catarina,Turvo
679,Santa Catarina,União do Oeste
680,Santa Catarina,Urubici
681,Santa Catarina,Urupema
682,Santa Catarina,Urussanga
683,Santa Catarina,Vargeão
684,Santa Catarina,Vargem
685,Santa Catarina,Vargem Bonita
686,Santa Catarina,Vidal Ramos
687,Santa Catarina,Videira
688,Santa Catarina,Vitor Meireles
689,Santa Catarina,Witmarsum
690,Santa Catarina,Xanxerê
691,Santa Catarina,Xavantina
692,Santa Catarina,Xaxim
693,Santa Catarina,Zortéa
694,Rio Grande do Sul,Aceguá
695,Rio Grande do Sul,Água Santa
696,Rio Grande do Sul,Agudo
697,Rio Grande do Sul,Ajuricaba
698,Rio Grande do Sul,Alecrim
699,Rio Grande do Sul,Alegrete
700,Rio Grande do Sul,Alegria
701,Rio Grande do Sul,Almirante Tamandaré do Sul
702,Rio Grande do Sul,Alpestre
703,Rio Grande do Sul,Alto Alegre
704,Rio Grande do Sul,Alto Feliz
705,Rio Grande do Sul,Alvorada
706,Rio Grande do Sul,Amaral Ferrador
707,Rio Grande do Sul,Ametista do Sul
708,Rio Grande do Sul,André da Rocha
709,Rio Grande do Sul,Anta Gorda
710,Rio Grande do Sul,Antônio Prado
711,Rio Grande do Sul,Arambaré
712,Rio Grande do Sul,Araricá
713,Rio Grande do Sul,Aratiba
714,Rio Grande do Sul,Arroio do Meio
715,Rio Grande do Sul,Arroio do Padre
716,Rio Grande do Sul,Arroio do Sal
717,Rio Grande do Sul,Arroio do Tigre
718,Rio Grande do Sul,Arroio dos Ratos
719,Rio Grande do Sul,Arroio Grande
720,Rio Grande do Sul,Arvorezinha
721,Rio Grande do Sul,Augusto Pestana
722,Rio Grande do Sul,Áurea
723,Rio Grande do Sul,Bagé
724,Rio Grande do Sul,Balneário Pinhal
725,Rio Grande do Sul,Barão
726,Rio Grande do Sul,Barão de Cotegipe
727,Rio Grande do Sul,Barão do Triunfo
728,Rio Grande do Sul,Barra do Guarita
729,Rio Grande do Sul,Barra do Quaraí
730,Rio Grande do Sul,Barra do Ribeiro
731,Rio Grande do Sul,Barra do Rio Azul
732,Rio Grande do Sul,Barra Funda
733,Rio Grande do Sul,Barracão
734,Rio Grande do Sul,Barros Cassal
735,Rio Grande do Sul,Benjamin Constant do Sul
736,Rio Grande do Sul,Bento Gonçalves
737,Rio Grande do Sul,Boa Vista das Missões
738,Rio Grande do Sul,Boa Vista do Buricá
739,Rio Grande do Sul,Boa Vista do Cadeado
740,Rio Grande do Sul,Boa Vista do Incra
741,Rio Grande do Sul,Boa Vista do Sul
742,Rio Grande do Sul,Bom Jesus
743,Rio Grande do Sul,Bom Princípio
744,Rio Grande do Sul,Bom Progresso
745,Rio Grande do Sul,Bom Retiro do Sul
746,Rio Grande do Sul,Boqueirão do Leão
747,Rio Grande do Sul,Bossoroca
748,Rio Grande do Sul,Bozano
749,Rio Grande do Sul,Braga
750,Rio Grande do Sul,Brochier
751,Rio Grande do Sul,Butiá
752,Rio Grande do Sul,Caçapava do Sul
753,Rio Grande do Sul,Cacequi
754,Rio Grande do Sul,Cachoeira do Sul
755,Rio Grande do Sul,Cachoeirinha
756,Rio Grande do Sul,Cacique Doble
757,Rio Grande do Sul,Caibaté
758,Rio Grande do Sul,Caiçara
759,Rio Grande do Sul,Camaquã
760,Rio Grande do Sul,Camargo
761,Rio Grande do Sul,Cambará do Sul
762,Rio Grande do Sul,Campestre da Serra
763,Rio Grande do Sul,Campina das Missões
764,Rio Grande do Sul,Campinas do Sul
