estado,cidade,latitude,longitude
Paraná,Abatiá,-23.3052967,-50.3102532
Paraná,Adrianópolis,-24.6557863,-48.9912769
Paraná,Agudos do Sul,-25.9890808,-49.3328175
Paraná,Almirante Tamandaré,-25.3133048,-49.2997838
Paraná,Altamira do Paraná,-24.798939,-52.7132201
Paraná,Alto Paraíso,-23.508137,-53.728537
Paraná,Alto Paraná,-23.131247,-52.318893
Paraná,Alto Piquiri,-24.0239021,-53.4417448
Paraná,Altônia,-23.8722004,-53.894037
Paraná,Alvorada do Sul,-22.7807269,-51.2307721
Paraná,Amaporã,-23.094272,-52.786597
Paraná,Ampére,-25.9168712,-53.4742414
Paraná,Anahy,-24.6450861,-53.1337957
Paraná,Andirá,-23.0494761,-50.2310027
Paraná,Ângulo,-23.1958345,-51.9094976
Paraná,Antonina,-25.4298854,-48.7125431
Paraná,Antônio Olinto,-25.9849006,-50.1974516
Paraná,Apucarana,-23.5525327,-51.4610764
Paraná,Arapongas,-23.4152862,-51.4293961
Paraná,Arapoti,-24.1457957,-49.8224605
Paraná,Arapuã,-24.3079525,-51.7901941
Paraná,Araruna,-23.9320308,-52.4976047
Paraná,Araucária,-25.5861107,-49.4051209
Paraná,Ariranha do Ivaí,-24.3834527,-51.5876772
Paraná,Assaí,-23.3736041,-50.8454929
Paraná,Assis Chateaubriand,-24.4054826,-53.5120468
Paraná,Astorga,-23.2350184,-51.6647074
Paraná,Atalaia,-23.1513833,-52.0529697
Paraná,Balsa Nova,-25.5842234,-49.6312741
Paraná,Bandeirantes,-23.107788,-50.370407
Paraná,Barbosa Ferraz,-24.0287182,-52.00811
Paraná,Barra do Jacaré,-23.1151788,-50.1813945
Paraná,Barracão,-26.2524094,-53.6349764
Paraná,Bela Vista da Caroba,-25.8792818,-53.6672545
Paraná,Bela Vista do Paraíso,-22.9948493,-51.1907996
Paraná,Bituruna,-26.161281,-51.5533319
Paraná,Boa Esperança,-24.2411024,-52.7860277
Paraná,Boa Esperança do Iguaçu,-25.6362851,-53.2139114
Paraná,Boa Ventura de São Roque,-24.88177,-51.5441292
Paraná,Boa Vista da Aparecida,-25.4357216,-53.4067721
Paraná,Bocaiúva do Sul,-25.206591,-49.114131
Paraná,Bom Jesus do Sul,-26.192388,-53.6000736
Paraná,Bom Sucesso,-23.7101968,-51.7661597
Paraná,Bom Sucesso do Sul,-26.0749256,-52.8348629
Paraná,Borrazópolis,-23.9399295,-51.5842203
Paraná,Braganey,-24.8179919,-53.118506
Paraná,Brasilândia do Sul,-24.1975793,-53.527551
Paraná,Cafeara,-22.78905,-51.714195
Paraná,Cafelândia,-24.6176963,-53.3218057
Paraná,Cafezal do Sul,-23.900508,-53.512418
Paraná,Califórnia,-23.6672543,-51.3554556
Paraná,Cambará,-23.042273,-50.075281
Paraná,Cambé,-23.2782035,-51.2779583
Paraná,Cambira,-23.6002773,-51.5809914
Paraná,Campina da Lagoa,-24.5937926,-52.8038965
Paraná,Campina do Simão,-25.1086375,-51.8076658
Paraná,Campina Grande do Sul,-25.3046032,-49.0545355
Paraná,Campo Bonito,-25.0328004,-52.992976
Paraná,Campo do Tenente,-25.9814143,-49.684518
Paraná,Campo Largo,-25.4597726,-49.5270851
Paraná,Campo Magro,-25.3691533,-49.4496921
Paraná,Campo Mourão,-24.046329,-52.37802
Paraná,Cândido de Abreu,-24.5747463,-51.3432207
Paraná,Candói,-25.5711951,-52.051107
Paraná,Cantagalo,-25.3735238,-52.1238114
Paraná,Capanema,-25.6704878,-53.8083036
Paraná,Capitão Leônidas Marques,-25.481645,-53.611238
Paraná,Carambeí,-24.9513298,-50.1171293
Paraná,Carlópolis,-23.4285011,-49.7208814
Paraná,Cascavel,-24.9554996,-53.4560544
Paraná,Castro,-24.794072,-49.9972914
Paraná,Catanduvas,-25.2043528,-53.154826
Paraná,Centenário do Sul,-22.821497,-51.5951456
Paraná,Cerro Azul,-24.8245108,-49.2615181
Paraná,Céu Azul,-25.1484973,-53.8494214
Paraná,Chopinzinho,-25.8566167,-52.5294107
Paraná,Cianorte,-23.662036,-52.6103989
Paraná,Cidade Gaúcha,-23.3816558,-52.9444098
Paraná,Clevelândia,-26.404065,-52.3513972
Paraná,Colombo,-25.2925439,-49.2243472
Paraná,Colorado,-22.8385097,-51.9730135
Paraná,Congonhinhas,-23.5497241,-50.5520182
Paraná,Conselheiro Mairinck,-23.6229983,-50.1706779
Paraná,Contenda,-25.678811,-49.535044
