cidade,estado,latitude,longitude,timestamp,temperatura_max,temperatura_min,prob_chuva_max,prob_chuva_media,prob_chuva_min,quantidade_chuva,sensacao_termica_max,sensacao_termica_min,velocidade_vento_max,direcao_vento,duracao_sol,uv_max
Abatiá,Paraná,-23.3052967,-50.3102532,2025-05-10,24.9,19.5,90,53,5,12.0,28.7,21.9,9.1,271,6197.52,2.55
Abatiá,Paraná,-23.3052967,-50.3102532,2025-05-11,22.8,15.9,8,2,0,0.0,22.2,14.7,19.8,125,31548.87,5.7
Abatiá,Paraná,-23.3052967,-50.3102532,2025-05-12,23.1,15.3,12,5,0,0.8,23.0,13.9,22.1,123,29081.62,5.65
Adrianópolis,Paraná,-24.6557863,-48.9912769,2025-05-10,24.7,19.1,98,58,0,44.2,29.0,21.0,10.3,136,0.0,0.3
Adrianópolis,Paraná,-24.6557863,-48.9912769,2025-05-11,22.7,16.8,5,1,0,0.0,22.8,18.0,12.6,102,28538.32,3.9
Adrianópolis,Paraná,-24.6557863,-48.9912769,2025-05-12,21.4,17.1,3,2,0,0.0,23.6,17.9,6.6,111,6166.55,5.3
Agudos do Sul,Paraná,-25.9890808,-49.3328175,2025-05-10,21.3,14.4,100,35,0,9.6,21.8,15.3,10.0,190,28800.0,5.6
Agudos do Sul,Paraná,-25.9890808,-49.3328175,2025-05-11,20.0,11.4,18,6,0,0.1,18.9,11.3,15.3,100,35385.73,5.55
Agudos do Sul,Paraná,-25.9890808,-49.3328175,2025-05-12,17.2,11.8,15,2,0,0.0,16.3,11.2,14.4,102,5597.58,4.55
Almirante Tamandaré,Paraná,-25.3133048,-49.2997838,2025-05-10,20.1,14.5,95,45,0,7.4,21.0,14.1,10.5,138,15543.9,4.8
Almirante Tamandaré,Paraná,-25.3133048,-49.2997838,2025-05-11,16.4,11.9,3,0,0,0.0,15.5,10.9,13.8,99,19305.22,5.7
Almirante Tamandaré,Paraná,-25.3133048,-49.2997838,2025-05-12,15.3,11.8,2,0,0,0.0,14.5,10.7,14.0,98,0.0,5.65
Altamira do Paraná,Paraná,-24.798939,-52.7132201,2025-05-10,26.2,16.7,80,10,0,2.8,27.0,17.0,12.6,192,34572.84,5.65
Altamira do Paraná,Paraná,-24.798939,-52.7132201,2025-05-11,24.8,11.9,0,0,0,0.0,26.3,11.2,9.9,132,35621.57,5.6
Altamira do Paraná,Paraná,-24.798939,-52.7132201,2025-05-12,25.1,13.3,3,0,0,0.0,26.1,13.0,10.8,91,34730.57,5.55
Alto Paraíso,Paraná,-23.508137,-53.728537,2025-05-10,23.4,17.5,83,13,0,5.0,26.0,18.3,13.2,220,27087.66,5.5
Alto Paraíso,Paraná,-23.508137,-53.728537,2025-05-11,24.5,14.7,0,0,0,0.0,26.0,14.9,10.1,137,36418.58,5.75
Alto Paraíso,Paraná,-23.508137,-53.728537,2025-05-12,23.5,15.8,3,1,0,0.0,24.7,16.0,13.8,83,34814.98,5.75
Alto Paraná,Paraná,-23.131247,-52.318893,2025-05-10,24.6,19.7,93,43,0,9.5,27.5,22.6,9.7,251,29250.43,4.25
Alto Paraná,Paraná,-23.131247,-52.318893,2025-05-11,24.5,16.4,0,0,0,0.0,25.2,17.0,16.0,102,36473.52,5.85
Alto Paraná,Paraná,-23.131247,-52.318893,2025-05-12,23.6,15.1,3,2,0,0.0,24.5,14.3,18.7,87,34659.49,5.75
Alto Piquiri,Paraná,-24.0239021,-53.4417448,2025-05-10,24.5,17.1,95,11,0,3.7,26.4,18.1,11.3,225,31641.2,5.75
Alto Piquiri,Paraná,-24.0239021,-53.4417448,2025-05-11,24.4,14.7,0,0,0,0.0,26.5,14.3,10.2,134,36852.81,5.7
Alto Piquiri,Paraná,-24.0239021,-53.4417448,2025-05-12,24.1,15.8,5,0,0,0.0,25.7,16.1,12.1,80,35983.48,5.65
Altônia,Paraná,-23.8722004,-53.894037,2025-05-10,23.6,17.1,90,12,0,1.1,25.5,18.0,13.2,213,35112.83,5.75
Altônia,Paraná,-23.8722004,-53.894037,2025-05-11,24.2,14.5,0,0,0,0.0,26.4,14.4,8.9,145,36266.03,5.75
Altônia,Paraná,-23.8722004,-53.894037,2025-05-12,24.2,16.3,3,0,0,0.0,25.8,17.0,11.5,80,36128.05,5.7
Alvorada do Sul,Paraná,-22.7807269,-51.2307721,2025-05-10,24.7,19.6,80,44,0,5.5,28.5,22.3,10.0,258,11065.46,3.6
Alvorada do Sul,Paraná,-22.7807269,-51.2307721,2025-05-11,24.1,17.6,8,3,0,0.0,24.4,16.1,17.3,115,33737.89,5.6
Alvorada do Sul,Paraná,-22.7807269,-51.2307721,2025-05-12,24.6,16.5,10,3,0,0.0,25.0,15.5,21.4,113,32879.55,5.8
Amaporã,Paraná,-23.094272,-52.786597,2025-05-10,25.4,20.1,85,33,0,5.6,27.3,22.8,14.4,252,31528.04,4.55
Amaporã,Paraná,-23.094272,-52.786597,2025-05-11,25.4,17.2,3,0,0,0.0,26.1,18.1,12.4,109,37035.69,5.8
Amaporã,Paraná,-23.094272,-52.786597,2025-05-12,24.5,15.3,3,2,0,0.0,25.2,15.3,14.1,89,35206.31,5.75
Ampére,Paraná,-25.9168712,-53.4742414,2025-05-10,22.6,13.2,0,0,0,0.0,22.2,13.1,13.7,159,36370.64,5.65
Ampére,Paraná,-25.9168712,-53.4742414,2025-05-11,22.4,9.9,0,0,0,0.0,21.7,8.6,11.6,129,36421.92,5.55
Ampére,Paraná,-25.9168712,-53.4742414,2025-05-12,23.1,11.5,0,0,0,0.0,24.2,10.9,16.1,85,35408.34,5.55
Anahy,Paraná,-24.6450861,-53.1337957,2025-05-10,25.2,17.0,85,10,0,1.8,25.8,16.5,15.0,183,36787.04,5.65
Anahy,Paraná,-24.6450861,-53.1337957,2025-05-11,23.4,13.2,0,0,0,0.0,23.9,12.0,13.8,154,36720.14,5.6
Anahy,Paraná,-24.6450861,-53.1337957,2025-05-12,24.6,14.0,0,0,0,0.3,25.4,14.1,13.0,110,34848.73,5.55
Andirá,Paraná,-23.0494761,-50.2310027,2025-05-10,26.1,19.9,93,51,15,10.3,30.4,23.1,8.9,255,5768.38,4.55
Andirá,Paraná,-23.0494761,-50.2310027,2025-05-11,23.3,16.9,28,8,0,0.0,23.0,16.5,20.1,122,27873.32,5.45
Andirá,Paraná,-23.0494761,-50.2310027,2025-05-12,24.0,16.0,20,7,0,0.3,24.2,15.4,22.7,116,30988.95,5.7
Ângulo,Paraná,-23.1958345,-51.9094976,2025-05-10,24.4,18.5,88,46,0,9.7,27.9,20.8,7.7,240,23299.79,5.25
Ângulo,Paraná,-23.1958345,-51.9094976,2025-05-11,25.1,15.3,3,1,0,0.0,25.8,16.4,14.8,104,35701.88,5.55
Ângulo,Paraná,-23.1958345,-51.9094976,2025-05-12,24.4,15.4,5,3,0,0.0,24.5,15.1,18.0,94,36158.8,5.45
Antonina,Paraná,-25.4298854,-48.7125431,2025-05-10,27.5,20.4,95,39,0,7.3,30.6,23.4,9.6,91,0.0,1.75
Antonina,Paraná,-25.4298854,-48.7125431,2025-05-11,21.5,17.2,40,6,0,0.3,24.4,19.2,4.8,177,12484.06,2.2
Antonina,Paraná,-25.4298854,-48.7125431,2025-05-12,20.4,17.8,43,26,8,0.9,23.2,19.8,3.1,183,1307.96,5.2
Antônio Olinto,Paraná,-25.9849006,-50.1974516,2025-05-10,21.3,11.5,100,18,0,18.1,21.2,10.9,9.7,177,34814.92,5.6
Antônio Olinto,Paraná,-25.9849006,-50.1974516,2025-05-11,20.3,7.8,5,1,0,0.0,19.7,6.3,13.7,119,35403.22,5.6
Antônio Olinto,Paraná,-25.9849006,-50.1974516,2025-05-12,18.1,9.8,3,0,0,0.0,17.7,8.6,13.7,102,7558.68,5.5
Apucarana,Paraná,-23.5525327,-51.4610764,2025-05-10,21.1,16.0,93,56,0,20.6,23.4,16.8,9.2,271,19395.04,5.55
Apucarana,Paraná,-23.5525327,-51.4610764,2025-05-11,21.6,14.7,3,0,0,0.0,21.7,13.2,15.0,92,36059.6,5.75
Apucarana,Paraná,-23.5525327,-51.4610764,2025-05-12,19.8,13.1,5,1,0,0.0,18.6,11.9,21.2,82,35146.53,5.65
Arapongas,Paraná,-23.4152862,-51.4293961,2025-05-10,21.2,16.4,93,56,0,17.7,23.3,17.0,9.4,259,18864.43,5.65
Arapongas,Paraná,-23.4152862,-51.4293961,2025-05-11,21.5,14.6,3,0,0,0.0,21.7,12.9,16.2,99,36361.41,5.55
Arapongas,Paraná,-23.4152862,-51.4293961,2025-05-12,19.6,13.3,5,1,0,0.0,19.1,11.5,21.6,92,33865.9,5.75
Arapoti,Paraná,-24.1457957,-49.8224605,2025-05-10,21.5,17.3,100,69,8,19.1,24.6,18.1,8.4,149,781.69,0.6
Arapoti,Paraná,-24.1457957,-49.8224605,2025-05-11,20.7,13.4,5,0,0,0.0,20.5,12.7,13.7,115,35582.5,5.9
Arapoti,Paraná,-24.1457957,-49.8224605,2025-05-12,19.8,12.6,8,3,0,0.0,19.3,11.9,17.1,103,18577.57,5.85
